,Present-day country/territory,Lat,Long,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
1108,Taiwan,23.868,121.181,19,6.4,L,0.0,2.0,,,
1152,Taiwan,24.300,122.142,34,7.1,"T,L",5.0,5.0,5.0,4,
1220,Taiwan,24.058,121.600,27.3,5.2,L,0.0,2.0,,,
1159,Taiwan,24.668,121.868,16.7,6.1,L,1.0,1.0,1.0,,
1275,Tajikistan,37.255,68.828,34,5.6,,3.0,3.0,,3,
1288,Tajikistan,38.936,70.485,10,5.2,L,3.0,12.0,,11,
1141,Tajikistan,38.644,69.844,28.6,5.2,,3.0,3.0,3.0,3,
1115,Tanzania,-7.965,30.806,34,6.4,,0.0,0.0,,1,
1160,Tanzania,-2.919,33.738,9.8,5.5,,2.0,2.0,2.0,2,
1260,Tanzania,-6.246,29.789,20,6.8,,6.0,6.0,,6,
1240,Turkey,37.603,43.691,40.6,5.9,,2.0,2.0,,,
1101,Turkey,38.164,38.777,5,4.5,,0.0,0.0,,1,
1346,Turkey,37.166,37.062,17.9,7.8,,,,45480.0,,
1106,Turkey,40.737,33.005,7,6.0,,2.0,2.0,2.0,2,
1343,Turkey,37.918,26.790,21.0,7.0,T,,,,,118
1111,Turkey,40.857,29.344,7.8,4.2,,0.0,1.0,,,
1339,Turkey,38.6,43.5,7.2,7.1,,,,,,"601 (as of October 30, 2011)"
1122,Turkey,38.451,31.265,12,6.0,,6.0,6.0,6.0,,
1144,Turkey,38.633,27.887,27.5,4.8,,1.0,1.0,,,
1146,Turkey,38.527,31.227,5,6.5,,44.0,44.0,44.0,42,
1330,Turkey,,,,6.1,,,,,,42
1175,Turkey,39.503,39.851,16.1,6.0,,1.0,1.0,1.0,1,
1180,Turkey,38.970,40.458,14,6.3,L,177.0,177.0,,177,
1216,Turkey,38.058,38.277,5,3.8,,6.0,6.0,,,
1218,Turkey,39.804,40.721,56.3,5.6,,10.0,10.0,,9,
1227,Turkey,39.690,43.935,20,4.8,,1.0,1.0,,,
1229,Turkey,38.347,39.232,4.5,5.6,,1.0,1.0,,,
1255,Turkey,38.158,26.753,7.7,5.8,,0.0,1.0,,,
1223,Turkey,39.735,43.908,27.1,5.1,,18.0,18.0,,18,
1121,Turkmenistan,39.532,54.801,30.6,7.0,,11.0,11.0,11.0,11,
1128,United States,47.090,-122.581,54,6.8,"L,Lq",0.0,0.0,,1,
1204,United States,35.629,-121.075,16,6.6,"L,Lq",2.0,2.0,2.0,2,
1277,Venezuela,10.814,-61.758,52,5.5,,1.0,1.0,,,
1257,Vietnam,9.973,108.226,14.7,5.3,,1.0,1.0,,,
